date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:01	62427/62427	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2010:25:58%20GMT	http://www.coca-cola.com.pk/en/home/	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/en/home/index.html	(from )
15:26:01	555/555	---M-Z	200	added ('OK')	text/plain	etag:%223ef-571e8b9da5c00%22	http://www.coca-cola.com.pk/robots.txt		(from )
15:26:01	288/288	---M--	200	added ('OK')	image/png	etag:%22120-571e84a8e81e0%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-57x57.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-57x57.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:01	488/488	---M--	200	added ('OK')	image/png	etag:%221e8-571e84fb274c0%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-114x114.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-114x114.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:02	313/313	---M--	200	added ('OK')	image/png	etag:%22139-571e84a8e6a70%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-72x72.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-72x72.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:02	432/432	---M--	200	added ('OK')	image/png	etag:%221b0-571e84a8e7628%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-144x144.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-144x144.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:02	288/288	---M--	200	added ('OK')	image/png	etag:%22120-571e84fb934ab%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-60x60.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-60x60.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:02	410/410	---M--	200	added ('OK')	image/png	etag:%2219a-571e9c80149b4%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-120x120.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-120x120.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:02	314/314	---M--	200	added ('OK')	image/png	etag:%2213a-571e8c523fb6e%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-76x76.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-76x76.png	(from http://www.coca-cola.com.pk/en/home/)
15:26:03	445/445	---M--	200	added ('OK')	image/png	etag:%221bd-571e84a8e1c50%22	http://www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-152x152.png	C:/Websites/Coke_Pakistan/www.coca-cola.com.pk/etc/designs/projectux-coca-cola/main/images/apple-touch-icon-152x152.png	(from http://www.coca-cola.com.pk/en/home/)
