date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:09	180/180	---M-Z	200	added ('OK')	text/plain	date:Sat,%2005%20Aug%202017%2008:22:33%20GMT	https://www.jazz.com.pk/robots.txt		(from )
10:05:10	117346/117346	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:05:08%20GMT	https://www.jazz.com.pk/	C:/Websites/Jazz/www.jazz.com.pk/index.html	(from )
10:05:12	15639/15639	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2020%20Apr%202016%2012:32:28%20GMT	https://www.jazz.com.pk/assets/themes/mobilink/favicon.ico?vjaz	C:/Websites/Jazz/www.jazz.com.pk/assets/themes/mobilink/favicon461b.ico	(from https://www.jazz.com.pk/)
10:05:12	153/153	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20May%202018%2005:05:12%20GMT	https://fonts.googleapis.com/css?family=Lato:400,100,100italic,300,300italic,400italic,700italic,700,900,900italic	C:/Websites/Jazz/fonts.googleapis.com/css442d.css	(from https://www.jazz.com.pk/)
10:05:13	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Websites/Jazz/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://www.jazz.com.pk/)
10:05:14	685/685	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202016%2010:23:43%20GMT	https://www.jazz.com.pk/assets/themes/mobilink/fonts/flaticon.css	C:/Websites/Jazz/www.jazz.com.pk/assets/themes/mobilink/fonts/flaticon.css	(from https://www.jazz.com.pk/)
10:05:16	114011/114011	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202016%2010:23:25%20GMT	https://www.jazz.com.pk/assets/themes/mobilink/css/bootstrap.min.css	C:/Websites/Jazz/www.jazz.com.pk/assets/themes/mobilink/css/bootstrap.min.css	(from https://www.jazz.com.pk/)
10:05:17	1174/1174	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202016%2010:23:28%20GMT	https://www.jazz.com.pk/assets/themes/mobilink/css/owl.carousel.min.css	C:/Websites/Jazz/www.jazz.com.pk/assets/themes/mobilink/css/owl.carousel.min.css	(from https://www.jazz.com.pk/)
10:05:18	1/1	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:05:18%20GMT	https://www.jazz.com.pk/wp-admin/admin-ajax.php	C:/Websites/Jazz/www.jazz.com.pk/wp-admin/admin-ajax.html	(from https://www.jazz.com.pk/)
10:05:19	55177/55177	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Oct%202014%2022:52:52%20GMT	https://www.jazz.com.pk/assets/plugins/revslider/rs-plugin/css/settings.css	C:/Websites/Jazz/www.jazz.com.pk/assets/plugins/revslider/rs-plugin/css/settings.css	(from https://www.jazz.com.pk/)
