date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:44	159323/159323	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Oct%202018%2009:43:42%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/home	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/home.html	(from )
12:43:44	212/212	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Oct%202018%2007:43:43%20GMT	https://www.ooredoo.qa/robots.txt		(from )
12:43:47	121411/121411	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2009:39:32%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_bootstrap.min.css?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_bootstrap.min.css;filename_=UTF-8''_ooredoo_assets_css_bootstrap.min74bd.css	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:43:48	31210/31210	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2007:53:02%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_font-awesome.min.css?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_font-awesome.min.css;filename_=UTF-8''_ooredoo_assets_css_font-awesome.min74bd.css	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:43:48	196761/196761	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2009:39:32%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_app_.css?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_app_.css;filename_=UTF-8''_ooredoo_assets_css_app_74bd.css	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:44:00	0/0	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2007:56:38%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/StyleSheet/_ooredoo_assets_css_app_ar_empty.css?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/StyleSheet/empty.css;filename_=UTF-8''empty74bd.css	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:44:04	37045/37045	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2007:53:02%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_bootstrap.min.js?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_bootstrap.min.js;filename_=UTF-8''_ooredoo_assets_js_bootstrap.min74bd.js	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:44:05	96142/96142	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2007:53:02%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_typeahead.bundle.js?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_typeahead.bundle.js;filename_=UTF-8''_ooredoo_assets_js_typeahead.bundle74bd.js	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:44:08	284394/284394	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2007:53:02%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_jquery.js?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_jquery.js;filename_=UTF-8''_ooredoo_assets_js_jquery74bd.js	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
12:44:09	23607/23607	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2007:14:12%20CEST	https://www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_app_.js?blobheader=text/css&blobnocache=false	C:/My%20Web%20Sites/Ooredoo/www.ooredoo.qa/portal/OoredooQatar/JavaScript/_ooredoo_assets_js_app_.js;filename_=UTF-8''_ooredoo_assets_js_app_74bd.js	(from https://www.ooredoo.qa/portal/OoredooQatar/home)
